PK,SK,DESCRIPTION
BLACKLIST_URL,http://caipf2026gemini.zeabur.app/,OpenPhish
BLACKLIST_URL,http://booking-clone-two.vercel.app/,OpenPhish
BLACKLIST_URL,https://www.roblox.com.ml/games/88270880256027/WORKING-SUSSY-SWAP-SIMULATOR-2?privateServerLinkCode=07013073602282211658933074166736,OpenPhish
BLACKLIST_URL,https://anzsupportchat.com/,OpenPhish
BLACKLIST_URL,https://ticket.ihealthfc.com/s/pages/login.php,OpenPhish
BLACKLIST_URL,https://ticket.ihealthfc.com/s,OpenPhish
BLACKLIST_URL,https://roblox.com.ly/users/2727628940/profile,OpenPhish
BLACKLIST_URL,https://www.robiox.com.py/users/463005489273/profile,OpenPhish
BLACKLIST_URL,https://amsbs4.hostwindsdns.com/script/zoom_map_login_activation_lock6/actlock/index.php,OpenPhish
BLACKLIST_URL,https://futuerworld.com/ww/,OpenPhish
BLACKLIST_URL,https://portal-e-devlet.com/,OpenPhish
BLACKLIST_URL,https://fidelitysafetyf.one/3rhyqrr/?msi=h5DfRz,OpenPhish
BLACKLIST_URL,https://www.robiox.com.ps/games/15532962292/Sols-RNG-Christmas?privateServerLinkCode=42770313388200437807457781113135,OpenPhish
BLACKLIST_URL,https://att.pdjnt.icu/pay/,OpenPhish
BLACKLIST_URL,https://att.ygjki.cc/pay/,OpenPhish
BLACKLIST_URL,https://att.kvyts.icu/pay/,OpenPhish
BLACKLIST_URL,https://t-mobile.com-ofd.icu/pay/,OpenPhish
BLACKLIST_URL,https://t-mobile.vuisjtax.cc/s6mT0HLT/,OpenPhish
BLACKLIST_URL,https://17684459060903bbad2e0795d2.temporary.link/wordpress/wp-admin/tv/persoling.htm,OpenPhish
BLACKLIST_URL,https://www.opensea-nftbox-wine.vercel.app/,OpenPhish
BLACKLIST_URL,https://ipfs.io/ipfs/bafkreifo4gsx4kdsua4hienotxc5lplgru6dz3bt4hdha3ir5jb4rpma7m?eta=3mail@a.b.c0,OpenPhish
BLACKLIST_URL,https://www.xiaomi-location.com/app/webroot/script/zoom_map_login_activation_lock6/actlock/,OpenPhish
BLACKLIST_URL,http://gillmedical.org/Chase/CHASE,OpenPhish
BLACKLIST_URL,http://smartthingsfind-samsung.com/script/zoom_map_login_activation_lock6/actlock,OpenPhish
BLACKLIST_URL,http://www.polinezia.tora.ru/,OpenPhish
BLACKLIST_URL,http://spectrumlogisticsinc-bt7.pages.dev/,OpenPhish
BLACKLIST_URL,http://spectacular-crepe-81f543.netlify.app/,OpenPhish
BLACKLIST_URL,http://spectrumdatasolutions-54j.pages.dev/,OpenPhish
BLACKLIST_URL,http://melodious-bombolone-2346b8.netlify.app/,OpenPhish
BLACKLIST_URL,http://marshanaere.github.io/,OpenPhish
BLACKLIST_URL,http://t-mobile.mfdqk.cc/pay/,OpenPhish
BLACKLIST_URL,https://4vox.netlify.app/,OpenPhish
BLACKLIST_URL,https://go.ly/roblox-users-9383862789-profile,OpenPhish
BLACKLIST_URL,https://49-12-218-254.cprapid.com/me/app/metamask.php,OpenPhish
BLACKLIST_URL,http://darb.qmobilitdlo.com/,OpenPhish
BLACKLIST_URL,http://darb.qmobilitdke.com/,OpenPhish
BLACKLIST_URL,http://darb.qmobilitrw.com/,OpenPhish
BLACKLIST_URL,http://darb.qmobilitswa.com/,OpenPhish
BLACKLIST_URL,https://www.robiox.com.py/users/308948519545/profile,OpenPhish
BLACKLIST_URL,https://smartthingsfind-samsung.com/app/webroot/script/zoom_map_login_activation_lock6/actlock/,OpenPhish
BLACKLIST_URL,http://www.icloud-photos.app/app/webroot/script/zoom_map_login_activation_lock6/actlock/,OpenPhish
BLACKLIST_URL,http://www.icloud-photos.app/script/zoom_map_login_activation_lock6/actlock,OpenPhish
BLACKLIST_URL,http://amazon-clone-alpha-gilt-89.vercel.app/,OpenPhish
BLACKLIST_URL,https://roblox.ml/games/2753915549/Blox-Fruits?privateServerLinkCode=17839771324245897073390356296550,OpenPhish
BLACKLIST_URL,https://www.robiox.com.py/users/377169018736/profile,OpenPhish
BLACKLIST_URL,https://instagram-dio-azure.vercel.app/,OpenPhish
BLACKLIST_URL,https://t-mobile.tuogsjg.cc/F9bJNjda?offset=yoLAeMngE&sort=dNzDs1zng,OpenPhish
BLACKLIST_URL,https://fidelitysafetye.one/rerg34drf/page.html,OpenPhish
BLACKLIST_URL,https://fidelitysafetye.one/rerg34drf/?bvu=qh1eUM,OpenPhish
BLACKLIST_URL,https://robinhoodprobe.com/login,OpenPhish
BLACKLIST_URL,https://robinhoodprobe.com/,OpenPhish
BLACKLIST_URL,http://ldr-ec34-df3fd.fdg87fd.workers.dev/,OpenPhish
BLACKLIST_URL,http://next-rent-app.vercel.app/,OpenPhish
BLACKLIST_URL,https://toharcaahlon-alt.github.io/tohar,OpenPhish
BLACKLIST_URL,https://34155dh8.org/Mobile/index.html,OpenPhish
BLACKLIST_URL,http://us-mettaa-mask_loggin.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://t-mobile.qocmn.cc/pay,OpenPhish
BLACKLIST_URL,https://att.lbfuu.icu/pay,OpenPhish
BLACKLIST_URL,http://www.independentns.com/wp-content/upgrade/adobe/,OpenPhish
BLACKLIST_URL,https://fidelitysafetya.one/xfitcdpp/page.html,OpenPhish
BLACKLIST_URL,http://netflix-clone-2r50aerpr-eliasvasquesalcantara.vercel.app/,OpenPhish
BLACKLIST_URL,https://fidelitysafetya.one/xfitcdpp/?ift=BrLnDm,OpenPhish
BLACKLIST_URL,https://members69.partner-invite-business.com/,OpenPhish
BLACKLIST_URL,https://aman-techhub.github.io/Netflix-Clone-Web-Design-/,OpenPhish
