PK,SK,DESCRIPTION
WHITELIST_SENDER,Google,Trusted sender
WHITELIST_SENDER,Facebook,Trusted sender
WHITELIST_SENDER,Apple,Trusted sender
WHITELIST_SENDER,Amazon,Trusted sender
WHITELIST_SENDER,Microsoft,Trusted sender
WHITELIST_SENDER,Santander,Trusted sender
WHITELIST_SENDER,BBVA,Trusted sender
WHITELIST_SENDER,CaixaBank,Trusted sender
WHITELIST_SENDER,Sabadell,Trusted sender
WHITELIST_SENDER,ING,Trusted sender
WHITELIST_SENDER,PayPal,Trusted sender
WHITELIST_SENDER,Netflix,Trusted sender
WHITELIST_SENDER,Uber,Trusted sender
WHITELIST_SENDER,Cabify,Trusted sender
WHITELIST_SENDER,Correos,Trusted sender
WHITELIST_SENDER,DHL,Trusted sender
WHITELIST_SENDER,SEUR,Trusted sender
WHITELIST_SENDER,SegSocial,Trusted sender
WHITELIST_SENDER,AEAT,Trusted sender
WHITELIST_SENDER,060,Trusted sender
WHITELIST_SENDER,Vodafone,Trusted sender
WHITELIST_SENDER,Orange,Trusted sender
WHITELIST_SENDER,Movistar,Trusted sender
WHITELIST_SENDER,WhatsApp,Trusted sender
WHITELIST_SENDER,Instagram,Trusted sender
WHITELIST_SENDER,Twitter,Trusted sender
WHITELIST_SENDER,TikTok,Trusted sender
WHITELIST_SENDER,Airbnb,Trusted sender
WHITELIST_SENDER,Booking.com,Trusted sender
WHITELIST_SENDER,Glovo,Trusted sender
